"contrast_description","tf_mse","thresh_mse","mse_value","thresh_vertical","vertical_window_len","delta"
"PEC:Control-HKD",0.325,8.20978137257312,2.53740938174688e-05,51.9272787335481,1.54037832942322e-05,43.717497360975
"PEC:DKD-HKD",0.65,4.73384005152367,7.11539742272255e-05,34.3159521662995,3.65362104943756e-05,29.5821121147758
"PT_S1:Control-DKD",0.2,42.9946643570754,2.54531786843248e-05,105.820013958025,0.000674379095002564,62.8253496009501
"PT_S1:Control-HKD",0.4,19.7212370763092,1.36522181175257e-05,15.3561708670529,5.40909571995485e-05,4.3650662092563
"PT_S1:DKD-HKD",0.15,39.3572263149359,1.30663439946539e-05,39.1117496955038,1.17773342012129e-05,0.245476619432097
"PT_S2:Control-DKD",0.125,86.7326724671989,1.71129308458102e-05,18.5058052512532,7.3557805002622e-06,68.2268672159456
"PT_S2:Control-HKD",0.225,10.0973281239229,1.07556333940833e-05,10.0973478607636,3.94736815003682e-05,1.97368407501841e-05
"PT_S2:DKD-HKD",0.275,8.83910628372051,1.38188507743018e-05,22.5815460986164,0,13.7424398148959
"PT_S3:Control-DKD",0.35,38.1557636976858,1.07157037676484e-05,38.1557792591143,3.11228570026856e-05,1.55614284977901e-05
"PT_S3:Control-HKD",0.125,52.0167460826922,9.63504036237088e-06,49.6909239714231,2.19307477991038e-05,2.3258221112691
"PT_S3:DKD-HKD",0.475,17.9921298510999,3.33488766323588e-05,94.5421984740528,0.0004157717397959,76.5500686229529
"Plasma_Cells:Control-DKD",0.2,23.0553063848777,2.19507409179681e-05,22.09274006499,0.00030443252860124,0.962566319887699
"Plasma_Cells:Control-HKD",0.3,3.30647825226516,2.50832090818751e-05,38.9080939037736,4.15126861028625e-05,35.6016156515085
"Plasma_Cells:DKD-HKD",0.075,39.0122722391147,1.41444835634485e-05,38.750615639731,0.000706316957298725,0.261656599383748
"Podo:Control-DKD",0.625,3.4936065237712,1.6180351293623e-05,12.4457952208485,6.39652849976358e-06,8.95218869707735
"Podo:Control-HKD",0.1,24.5559025302398,2.07903215368158e-05,65.5305478568023,4.76598601011347e-05,40.9746453265625
"Podo:DKD-HKD",0.325,13.84944881561,3.20803392215308e-05,13.8494156807108,6.62697983990768e-05,3.31348991995384e-05
"RBC:Control-DKD",0.05,13.3811371525225,9.77776672178443e-06,13.3811580515405,4.1798035999463e-05,2.08990179988433e-05
"RBC:Control-HKD",0.3,1.44867473380247,1.92600514529412e-05,10.3046325522047,0,8.85595781840223
"RBC:DKD-HKD",0.075,16.3288025873892,8.7739222843597e-06,16.328790392296,2.43901865033536e-05,1.21950932516768e-05
"VSMC/Pericyte:Control-DKD",0.1,34.950339521097,1.17289826040766e-05,34.075295299493,0.000136759831200095,0.875044221603993
"VSMC/Pericyte:Control-HKD",0.125,45.3943884797091,1.76934549202292e-05,13.8957854745046,0,31.4986030052045
"VSMC/Pericyte:DKD-HKD",0.025,60.9797821520609,2.30138239110726e-05,60.2765614981497,3.40503246931689e-05,0.703220653911153
"iPT:Control-DKD",0.425,21.4291457279612,2.21361494527454e-05,20.3848801716854,4.63021764005589e-05,1.0442655562758
"iPT:Control-HKD",0.175,58.9767950577048,8.49630496185716e-06,34.1708352075837,6.1348872804956e-05,24.8059598501211
"iPT:DKD-HKD",0.15,66.8012845354743,1.23707302274858e-05,66.8012546387612,5.97934262884792e-05,2.98967131442396e-05
